Name,Price,Rating
"Pearson IIT Foundation'24 Mathematics Class 9, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",429,4.2 out of 5 stars
"Pearson IIT Foundation'24 Mathematics Class 8, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad | Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",399,4.3 out of 5 stars
"Pearson IIT Foundation'24 Physics Class 8, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad, Includes Digital Assessment and Videos - 6th Edition",379.,4.4 out of 5 stars
"Pearson IIT Foundation'24 Chemistry Class 9, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad |Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",290,4.2 out of 5 stars
"Pearson IIT Foundation'24 Physics Class 9, As Per CBSE, ICSE. For JEE | NEET | NSTE | Olympiad,Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",275.,4.5 out of 5 stars
"Pearson IIT Foundation'24 Chemistry Class 8, As Per CBSE, ICSE. For JEE, NTSE, Olympiad | Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",239,4.4 out of 5 stars
"Pearson IIT Foundation'24 Mathematics Class 6, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",226.,4.2 out of 5 stars
"Pearson IIT Foundation'24 Mathematics Class 7, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad | Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",394,4.3 out of 5 stars
"Pearson IIT Foundation'24 Physics Class 7, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",270,4.7 out of 5 stars
"Pearson IIT Foundation'24 Mathematics Class 10, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad |Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",256.,4.4 out of 5 stars
"Pearson IIT Foundation'24 Chemistry Class 10, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",227,4.4 out of 5 stars
"Pearson IIT Foundation'24 Physics Class 10, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",215.,4.5 out of 5 stars
"Pearson IIT Foundation'24 Biology Class 8, As Per CBSE, ICSE. For JEE | NEET | NSTE | Olympiad |Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",319,4.2 out of 5 stars
"Pearson IIT Foundation'24 Chemistry Class 7, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",301.,4.6 out of 5 stars
"Pearson IIT Foundation'24 Science Class 6, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",305,4.6 out of 5 stars
Problems Plus in IIT Mathematics - Asit Das Gupta (2024-25 Examination),286.,4.4 out of 5 stars
